             VARIABLE : meridional current (m/sec)
             DATA SET : GODAS-MOM OUTPUT
             FILENAME : uv_5day.nc
             FILEPATH : /home/las/datasets/ocean_analysis/NRIG/
             BAD FLAG : -10           
             SUBSET   : 181 by 189 points (LONGITUDE-LATITUDE)
             DEPTH (m): 5
             TIME     : 06-AUG-2016 12:00 JULIAN
  	30E  	30.5E	31E  	31.5E	32E  	32.5E	33E  	33.5E	34E  	34.5E	35E  	35.5E	36E  	36.5E	37E  	37.5E	38E  	38.5E	39E  	39.5E	40E  	40.5E	41E  	41.5E	42E  	42.5E	43E  	43.5E	44E  	44.5E	45E  	45.5E	46E  	46.5E	47E  	47.5E	48E  	48.5E	49E  	49.5E	50E  	50.5E	51E  	51.5E	52E  	52.5E	53E  	53.5E	54E  	54.5E	55E  	55.5E	56E  	56.5E	57E  	57.5E	58E  	58.5E	59E  	59.5E	60E  	60.5E	61E  	61.5E	62E  	62.5E	63E  	63.5E	64E  	64.5E	65E  	65.5E	66E  	66.5E	67E  	67.5E	68E  	68.5E	69E  	69.5E	70E  	70.5E	71E  	71.5E	72E  	72.5E	73E  	73.5E	74E  	74.5E	75E  	75.5E	76E  	76.5E	77E  	77.5E	78E  	78.5E	79E  	79.5E	80E  	80.5E	81E  	81.5E	82E  	82.5E	83E  	83.5E	84E  	84.5E	85E  	85.5E	86E  	86.5E	87E  	87.5E	88E  	88.5E	89E  	89.5E	90E  	90.5E	91E  	91.5E	92E  	92.5E	93E  	93.5E	94E  	94.5E	95E  	95.5E	96E  	96.5E	97E  	97.5E	98E  	98.5E	99E  	99.5E	100E  	100.5E	101E  	101.5E	102E  	102.5E	103E  	103.5E	104E  	104.5E	105E  	105.5E	106E  	106.5E	107E  	107.5E	108E  	108.5E	109E  	109.5E	110E  	110.5E	111E  	111.5E	112E  	112.5E	113E  	113.5E	114E  	114.5E	115E  	115.5E	116E  	116.5E	117E  	117.5E	118E  	118.5E	119E  	119.5E	120E  
30S	-10	-10	-10	-0.0009248488	-0.07484999	-0.4044763	-0.5348338	-0.09945464	0.01401462	0.03747811	0.06342877	0.0310036	0.04113793	0.04395815	0.06012592	0.06853373	0.071059	0.05870691	0.05060289	0.07188906	0.07884134	0.06358194	0.05651139	0.06008415	0.06039447	0.06857545	0.06280487	0.05759019	0.05994437	0.06256019	0.05197815	0.03718047	0.01861919	-0.002127308	-0.001174367	0.003919426	0.002859194	-0.01188626	-0.0187436	-0.01789303	-0.01492094	-0.009232579	-0.006876238	-0.007814314	-0.008300371	-0.001325947	0.002086367	0.006073138	0.004898372	0.007208386	0.01437601	0.01575235	0.02105978	0.02568678	0.02182658	0.0156682	0.003980991	0.004921094	-0.006981255	-0.01188082	-0.02673255	-0.02038069	-0.02407892	-0.02746402	-0.02442157	-0.0210659	-0.01660928	-0.009367007	-0.009803646	-0.002118182	0.001713987	0.001664749	0.004915063	0.0007299783	0.009014161	0.009538559	0.01514553	0.01636942	0.02278326	0.02361729	0.02268132	0.02704866	0.03138875	0.03017185	0.03149948	0.03053713	0.03028192	0.02882368	0.01795856	0.005587047	-0.01455762	-0.009238518	-0.01137588	-0.01689163	-0.008939566	-0.007351722	-0.01806192	-0.01714293	-0.006329923	0.01753618	0.03476821	0.02980749	0.01612995	0.01875043	0.03148355	0.04456279	0.04506216	0.02953863	0.02621152	0.02952356	0.01551527	0.0009260177	-0.02358223	-0.02381608	-0.02257138	-0.003892443	0.01521316	0.03133725	0.04483407	0.05698994	0.05497742	0.03231815	0.04749506	0.05009124	0.05216039	0.06020237	0.06074357	0.05640312	0.05476782	0.05561407	0.04879563	0.05783278	0.03908437	0.06404164	0.07009314	0.04739252	0.0347761	0.03237428	0.04032859	0.02430662	0.04719067	0.04429949	0.03969086	0.05872372	0.06548848	0.03619316	0.02417581	0.04792755	0.04820921	0.06703875	0.04903484	0.04931709	0.08136324	0.1051109	0.09851891	0.1026717	0.1053703	0.09621214	0.06929261	0.04939784	0.01491015	-0.03522294	-0.09519178	-0.1449766	-0.1650283	-0.1344048	-0.1335145	-0.1780459	-0.05213504	-0.3617139	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
29.5S	-10	-10	-10	-10	-0.01185868	-0.1484158	-0.7304829	-0.2707398	-0.0297828	0.01234279	0.05813919	0.05464533	0.06405455	0.08075742	0.07338915	0.06153883	0.04190033	0.04505407	0.05214408	0.0775111	0.08161847	0.07111359	0.05975896	0.0516949	0.04729751	0.05379085	0.05391617	0.04655192	0.04534942	0.05568264	0.04950593	0.04375425	0.01604821	0.005539473	-0.009168688	0.01153634	-0.006119356	-0.01569944	-0.02315889	-0.02685422	-0.02239808	-0.01859786	-0.01512842	-0.02123147	-0.02330403	-0.01258498	-0.0005340036	0.005986695	0.002610607	0.007147922	0.01093387	0.01164656	0.01315524	0.01734537	0.01994847	0.01403056	0.001754639	-0.002907574	-0.007602684	-0.009060479	-0.01769983	-0.0142738	-0.0185611	-0.01873555	-0.01454244	-0.02599544	-0.00441501	-0.01120069	-0.00144561	-0.004530658	0.006005792	0.004783721	0.0124311	0.01824445	0.02346142	0.02345193	0.01874449	0.01693848	0.02450472	0.02694611	0.02229219	0.0254955	0.01948648	0.01913261	0.01657349	0.01874208	0.01699069	0.01203576	0.003977363	-0.02677073	-0.03884668	-0.02401092	-0.01153267	-0.0138545	-0.005845051	-0.008958221	-0.02243455	-0.02146997	0.001714226	0.02384344	0.04042979	0.03087788	0.02723454	0.03642538	0.04352316	0.0565807	0.04381146	0.02851845	0.01966291	0.01893779	0.02249974	-0.001264237	-0.00964604	-0.02532196	-0.02494378	-0.002235396	0.02386297	0.04031998	0.04941824	0.05164908	0.06068135	0.02962905	0.04742696	0.03684784	0.05420603	0.05351838	0.06006057	0.04286303	0.04745196	0.04755784	0.04576044	0.0507718	0.05922838	0.06066902	0.05108878	0.03466538	0.0298706	0.02729914	0.04018836	0.0438721	0.04325126	0.05188467	0.04651739	0.06759478	0.046344	0.04641049	0.04705045	0.03598422	0.0636579	0.06077482	0.05977631	0.06485342	0.08359413	0.1016723	0.09645585	0.08773177	0.09144834	0.07501791	0.05208914	0.02593255	-0.01349409	-0.07797523	-0.1396848	-0.2076626	-0.1979321	-0.1568237	-0.126715	-0.1265308	-0.06323273	-0.2638526	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
29S	-10	-10	-10	-10	-10	-0.02668319	-0.6965407	-0.40131	-0.1043001	-0.02785709	0.06782091	0.08141918	0.1027443	0.1063219	0.08445208	0.0517654	0.02757051	0.02948668	0.05228651	0.05837766	0.07273264	0.04881651	0.04195448	0.02689489	0.03187768	0.03947035	0.04094089	0.04470063	0.04091011	0.04428821	0.03214356	0.0633596	0.02534177	0.01480377	0.01440938	-0.006656239	-0.0218148	-0.02540054	-0.0346358	-0.03877853	-0.04119636	-0.02822711	-0.02433242	-0.03119957	-0.02732052	-0.0168838	0.00004303865	0.005876083	0.005411887	0.004962056	0.01234365	0.008664912	0.009305684	0.01380817	0.0189575	0.009927842	-0.004199087	-0.009788383	-0.01063757	-0.007905866	-0.01281284	-0.009781658	-0.0164194	-0.01334282	-0.01686634	-0.0201052	-0.01209616	-0.007655304	-0.00739512	-0.00161662	-0.004404179	0.000491193	0.005548432	0.01868771	0.02000391	0.01998159	0.01783398	0.02319642	0.02045505	0.02067237	0.01448816	0.0103503	0.005543111	0.006455703	0.008914532	0.000673143	0.006696243	0.001122551	-0.01313905	-0.03323755	-0.06871393	-0.03884538	-0.0227154	-0.002955708	0.004617443	-0.008367051	-0.02271768	-0.02262264	0.005549887	0.03505178	0.03795178	0.03662793	0.04759017	0.0501691	0.05763902	0.0535294	0.03872341	0.01230546	-0.0005750316	0.009107544	0.01345999	0.01303769	-0.007210934	-0.005218704	-0.03378843	-0.005290936	0.02761864	0.03480258	0.03853422	0.06439769	0.04789092	0.05360834	0.03147214	0.05076154	0.04345611	0.05476541	0.0396628	0.0382661	0.04426723	0.04273833	0.04571377	0.05359575	0.06686504	0.06735378	0.04242419	0.03238514	0.02714579	0.01895283	0.02537584	0.03442463	0.04956523	0.05812633	0.05387596	0.04858906	0.04235114	0.05206823	0.03974612	0.051755	0.05834357	0.07955689	0.08321054	0.09203018	0.0866317	0.09664383	0.0858656	0.08099264	0.07571959	0.06350727	0.03775508	0.002856879	-0.06619178	-0.1241397	-0.2058291	-0.2501	-0.2225937	-0.1497463	-0.0914441	-0.09069985	-0.297024	0.06848627	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
28.5S	-10	-10	-10	-10	-10	-10	-0.4472078	-0.4442024	-0.1787098	-0.06127273	0.05515384	0.1210384	0.1123516	0.1201272	0.08137312	0.05315583	0.03155467	0.01778648	0.03610577	0.0207919	0.04823127	0.02583269	0.02825645	0.01968803	0.02233016	0.02904653	0.03623781	0.03730428	0.03798954	0.01236485	0.006867171	0.02166506	0.02437702	0.04162978	0.06626336	0.01285604	-0.0171418	-0.03891183	-0.05277608	-0.0461242	-0.03704175	-0.02520397	-0.03319751	-0.02013977	-0.02639126	-0.01173423	-0.00135629	0.007847113	0.001906792	0.0062708	0.007392084	0.01559921	0.005539592	0.01017091	0.006706584	0.002825411	-0.007890389	-0.0130057	-0.01274018	-0.01022875	-0.004973592	-0.006594466	-0.01287033	-0.004898652	-0.02220417	-0.01421967	-0.01764567	-0.01361327	-0.00808951	-0.008401465	-0.002686084	-0.003927525	0.007718602	0.005796477	0.01998353	0.01757554	0.02638415	0.02454484	0.01868625	0.01718962	0.008480241	0.001248709	0.002216986	-0.002772303	-0.009868174	-0.00908106	-0.01125399	-0.02118865	-0.03217968	-0.05055288	-0.0640196	-0.056845	-0.01934659	0.005804819	0.00710353	-0.0114867	-0.02883602	-0.01909099	0.01687728	0.03996706	0.05038344	0.04527213	0.05605529	0.06672722	0.06050897	0.05609485	0.02907484	0.00392582	-0.008637248	0.007488387	0.01701041	0.0152516	0.01110456	-0.0163091	-0.003289303	-0.02194581	0.03719502	0.02140675	0.04694973	0.04608147	0.07199961	0.04448621	0.0564729	0.0451453	0.04945778	0.04586135	0.04036797	0.03110006	0.0433959	0.03561299	0.04859596	0.05203246	0.07295493	0.06541259	0.0455822	0.02794741	0.02519264	0.001993176	-0.003997033	0.0250543	0.02850059	0.04957093	0.04749351	0.04867299	0.06700809	0.03193684	0.02917784	0.04377764	0.05748141	0.08729377	0.09977601	0.09615602	0.09989411	0.09433838	0.08765794	0.07983347	0.07468136	0.05445458	0.03559094	-0.02722696	-0.1163762	-0.1825942	-0.2516034	-0.2733125	-0.2056472	-0.1299675	-0.03446262	-0.2074267	-0.07554467	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
28S	-10	-10	-10	-10	-10	-10	-0.252124	-0.3645359	-0.2484336	-0.09543599	0.01119806	0.1179524	0.1234548	0.118118	0.1073552	0.07152526	0.04276843	0.02239853	-0.004308439	-0.00361215	0.008046355	0.0274459	0.02707425	0.02923652	0.02465848	0.02435512	0.03045784	0.0306292	0.01624099	-0.006797493	-0.03540379	-0.05777784	-0.02760966	-0.0008729902	0.06163301	0.09411477	0.02003289	-0.03205908	-0.06843675	-0.05638177	-0.03279979	-0.02628602	-0.02030507	-0.01394422	-0.01447027	-0.01151744	0.00009331085	0.00007382175	-0.002580527	-0.008480514	-0.003789499	0.006300731	0.003357945	-0.005631462	-0.003648317	-0.003816835	-0.004639856	-0.006131323	-0.004250384	-0.006379949	-0.005794431	-0.01622867	-0.01651812	-0.006612149	-0.02331254	-0.01110388	-0.02072212	-0.009293842	-0.01279495	-0.004820701	-0.004340934	0.005381504	-0.006339962	0.013006	0.01255517	0.0224792	0.02511233	0.0194131	0.01448013	0.008196245	-0.004338998	-0.009916058	-0.01158519	-0.01845453	-0.02398123	-0.0269262	-0.03801316	-0.04068778	-0.05182241	-0.06211653	-0.05571422	-0.05070798	-0.004173808	0.01313581	0.005126053	-0.02191898	-0.02775636	-0.005147661	0.02740962	0.05451022	0.05660585	0.05731868	0.05426815	0.07642168	0.06938384	0.0553113	0.03196033	0.003154207	0.005166426	0.01039352	0.0197541	0.009842059	-0.002414476	-0.01287194	-0.003814635	-0.0009949919	0.02492035	0.03138275	0.02523569	0.04675802	0.06726265	0.05695315	0.06403773	0.06218397	0.0456863	0.04435329	0.03181661	0.03860881	0.02915212	0.04184141	0.03655968	0.05959777	0.06128932	0.06456675	0.04054485	0.02253427	0.005645871	-0.0151582	-0.01490359	-0.007218143	0.01269503	0.05644348	0.05938872	0.06932511	0.05545718	0.04010109	0.02433338	0.03789892	0.05785881	0.08355013	0.09080162	0.09254849	0.1065098	0.1057455	0.09846226	0.09007153	0.07752167	0.06373043	0.02844044	-0.0513933	-0.1383305	-0.2045714	-0.271788	-0.2714491	-0.190357	-0.145738	-0.1530563	-0.001721226	-0.05724354	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
27.5S	-10	-10	-10	-10	-10	-10	-0.1180894	-0.2510423	-0.2619056	-0.1625061	-0.05993699	0.09301005	0.1229371	0.1423566	0.1374194	0.09498602	0.07381186	0.01786448	-0.01409727	-0.0426027	-0.03104054	0.01504834	0.03830837	0.04144718	0.03274212	0.03233324	0.03040879	0.02693385	0.01286732	-0.001057324	-0.06346243	-0.1066729	-0.164686	-0.0705625	-0.0117742	0.08959104	0.1110654	0.01644432	-0.05362363	-0.06826709	-0.04314265	-0.03767943	-0.01608618	-0.01051333	-0.01025746	-0.01099174	-0.00184737	0.0014572	-0.006034953	-0.01147519	-0.01328491	-0.0001916946	-0.0007884877	-0.002596238	-0.003240155	0.001884037	0.002917405	0.002384836	-0.0007880669	-0.00715007	-0.01227658	-0.01882783	-0.02569051	-0.01438094	-0.01769265	-0.01498008	-0.01655325	-0.0136934	-0.005353348	-0.007844278	0.001212631	-0.008656866	0.005102088	-0.006035986	0.01171388	0.008163269	0.01220612	0.01054646	0.006108008	-0.0005867799	-0.01014125	-0.01775694	-0.02402492	-0.02899493	-0.035165	-0.0445643	-0.04722016	-0.06678076	-0.06188659	-0.06336378	-0.05758064	-0.03251901	-0.0006769696	0.01311994	-0.005536805	-0.025708	-0.01963904	0.008772413	0.04394536	0.05193609	0.05768871	0.05079595	0.06100666	0.07040561	0.06913079	0.06002517	0.02947598	0.02218953	0.01218272	0.02642141	0.01315702	0.0001206014	-0.009573551	-0.01159053	-0.007713378	0.01427446	0.0229922	0.02189614	0.009370848	0.03364993	0.05473567	0.06562824	0.06675285	0.07043054	0.04805799	0.02937452	0.04103659	0.03201392	0.03959349	0.02684685	0.03976361	0.03994005	0.0500261	0.04516743	0.04266362	0.01705722	-0.009847383	-0.02181434	-0.01399802	-0.01920676	0.001902657	0.04453563	0.07641502	0.06150236	0.05120591	0.04715616	0.02915291	0.03890518	0.0503212	0.07670041	0.07779195	0.09043013	0.1083556	0.1228418	0.1135309	0.1109013	0.08907185	0.06043854	0.01895013	-0.07309875	-0.1411784	-0.2081955	-0.2931485	-0.2791396	-0.1771945	-0.1420838	-0.1733401	-0.002271429	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
27S	-10	-10	-10	-10	-10	-10	-0.05858447	-0.1415696	-0.1803919	-0.2207926	-0.1264546	-0.01561983	0.1134892	0.1777323	0.1510504	0.1169861	0.08763243	0.0218434	0.002455269	-0.04305498	-0.05089708	-0.01156113	0.03148352	0.05165606	0.04833873	0.04014552	0.03377995	0.02811354	0.0170153	0.01233241	-0.01748901	-0.1530135	-0.2426019	-0.1464591	-0.1225819	-0.02602654	0.1462953	0.1071312	-0.0226621	-0.06844056	-0.06056402	-0.03493588	-0.0205542	0.003737367	-0.003081452	-0.003996745	0.00238692	0.01325507	0.004591011	-0.008080199	-0.01172507	-0.007630336	-0.001243622	-0.0006806521	-0.0008026888	-0.001133512	0.0007038781	-0.002996417	-0.008836788	-0.01707106	-0.02107811	-0.0214687	-0.02055219	-0.02459745	-0.01377743	-0.01939422	-0.01073326	-0.01071441	-0.009636417	0.001743068	-0.00837121	-0.006251298	-0.004816091	-0.0001865679	0.002149604	0.009529243	0.003978815	0.005288463	-0.004152144	-0.01346289	-0.0246001	-0.03336627	-0.03677007	-0.04224871	-0.05387223	-0.04525499	-0.06790584	-0.07946911	-0.08618878	-0.06817889	-0.0512239	-0.02660088	-0.001049304	0.008400444	-0.007140392	-0.02269456	-0.003836717	0.03341229	0.05906831	0.05758074	0.05227049	0.04643919	0.05939153	0.05882066	0.06366062	0.05657846	0.04942957	0.03773358	0.04220907	0.02984247	0.01508027	-0.004276451	-0.008220404	-0.004257662	0.005279107	-0.002369035	0.003008839	-0.001899768	-0.0191062	0.000570278	0.04112196	0.06110863	0.06625231	0.06427137	0.04837082	0.03111532	0.0367311	0.03600873	0.02945305	0.02752316	0.01997687	0.02802826	0.01582327	0.02759732	0.02601607	0.002432314	-0.009011166	-0.04135801	-0.0318826	-0.001436213	-0.003562618	0.02992078	0.05361052	0.04740736	0.04721675	0.05036189	0.04030776	0.04027037	0.05190088	0.06431472	0.07507723	0.08620282	0.1145321	0.1313538	0.1342228	0.1165805	0.09113087	0.05932115	0.003229216	-0.07610683	-0.1429145	-0.2340302	-0.3447977	-0.3255578	-0.1361277	-0.1173315	-0.2083195	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
26.5S	-10	-10	-10	-10	-10	-10	-0.06444902	-0.03717639	-0.07086232	-0.1869939	-0.1712858	-0.1499213	0.008805192	0.1829948	0.1628795	0.1324833	0.07947439	0.02936406	0.01994068	-0.001546856	-0.0388707	-0.02986588	0.0007995408	0.0338162	0.04376044	0.03399125	0.02059123	0.003176924	-0.001309438	0.02384207	0.02106992	-0.1149422	-0.1183219	-0.2298586	-0.213431	-0.181566	0.02833516	0.1910925	0.04037771	-0.04754172	-0.06826043	-0.03126429	-0.01165167	0.01418421	0.00946569	-0.001076615	0.003259686	0.01644128	0.01025147	-0.006046933	-0.01867332	-0.01910252	-0.01308781	-0.005709071	0.001601301	-0.002647057	-0.005347069	-0.007535825	-0.0116251	-0.02366599	-0.02894905	-0.0254586	-0.02200152	-0.01579183	-0.01471221	-0.005473425	-0.009931458	-0.00545993	-0.01305051	-0.001500003	-0.01170915	-0.01601694	-0.0160961	-0.008640645	-0.008399541	-0.001956091	0.004978675	-0.01090601	-0.01681024	-0.03471484	-0.04184525	-0.05063209	-0.05357517	-0.0606656	-0.05561819	-0.06754375	-0.08072799	-0.09732991	-0.08772909	-0.07622644	-0.051124	-0.03008461	-0.003596419	0.006394845	-0.005933855	-0.007334	0.01957987	0.0679254	0.07906407	0.07614783	0.05752476	0.0462481	0.04710397	0.04745218	0.04291309	0.05477615	0.05460034	0.06060123	0.05368184	0.03642806	0.00540705	-0.008953576	-0.005668755	0.0005491058	-0.005111192	-0.02716641	-0.02267073	-0.03274205	-0.04931229	-0.03126602	0.01747455	0.04204918	0.05438934	0.04722353	0.04184718	0.03011138	0.03519525	0.02993948	0.0310223	0.02539064	0.01233367	0.009031988	0.001152217	0.006931324	0.007318676	-0.01314263	-0.02100238	-0.02171087	-0.0531566	0.0007510876	0.01343375	0.02331501	0.02656405	0.03510971	0.05258728	0.05666976	0.05595496	0.05304687	0.05515924	0.06713551	0.08156911	0.1024441	0.1260885	0.1425705	0.1364044	0.1162442	0.08755208	0.0530229	-0.00180717	-0.06980608	-0.1465177	-0.2587621	-0.3970933	-0.3803636	-0.1677568	-0.1038859	-0.1116063	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
26.1S	-10	-10	-10	-10	-10	-10	-0.04661804	0.01095475	-0.02025843	-0.053569	-0.1757184	-0.224207	-0.1887228	0.1264217	0.1522729	0.1452204	0.08383831	0.03749404	0.04151532	0.01987654	-0.004545005	-0.01833453	-0.01982307	0.001442374	0.03129829	0.01978089	-0.00348079	-0.03743248	-0.01528411	0.00961398	0.02025795	-0.03686239	0.013898	-0.1321889	-0.245261	-0.3058057	-0.2157817	0.1772802	0.1169313	-0.01912082	-0.06798999	-0.02576101	-0.007971314	0.01248429	0.006132354	-0.003436085	-0.0003603209	0.0133296	0.01323686	0.001251728	-0.01760069	-0.02339592	-0.02133068	-0.01246022	-0.002934274	-0.003655315	-0.008876668	-0.009480389	-0.01023006	-0.02272398	-0.03042788	-0.02832112	-0.0196606	-0.01057864	0.001712298	-0.005101996	0.004101784	-0.01571004	-0.004672971	-0.01288426	-0.01559905	-0.02889535	-0.02540602	-0.02416264	-0.0200187	-0.003681424	-0.004870351	-0.01663367	-0.03326377	-0.04151065	-0.05556896	-0.06061235	-0.07238869	-0.06082359	-0.06144395	-0.07446478	-0.09256502	-0.08632992	-0.08331624	-0.06411089	-0.0554505	-0.03084123	-0.007052392	0.007548293	0.007065213	0.01621635	0.06039055	0.08882371	0.1100874	0.08038627	0.06908257	0.04214966	0.03508571	0.02845424	0.01875747	0.02896592	0.04580805	0.0580009	0.04906778	0.01943413	-0.009279612	-0.01355278	-0.01158475	-0.0106968	-0.02382937	-0.03344075	-0.0461193	-0.05425996	-0.06978146	-0.04354222	-0.01333955	0.03634602	0.04114253	0.045142	0.04012023	0.03477474	0.03709364	0.03765103	0.02975119	0.03196238	0.02296863	0.005697655	0.001659858	-0.009797085	-0.01380477	-0.02493149	-0.03088708	-0.02090781	-0.03603192	-0.02028383	0.02025117	0.01210512	0.01711812	0.04008826	0.05650223	0.06485629	0.06697495	0.06578091	0.06795572	0.07465487	0.09361797	0.1160205	0.1306445	0.1359512	0.1205609	0.1069425	0.07331533	0.05495933	0.01391923	-0.0534635	-0.1311626	-0.2579348	-0.4310817	-0.4168904	-0.2149592	-0.1076662	-0.01171115	0.02166522	0.02301564	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
25.6S	-10	-10	-10	-10	-10	-10	-0.02447534	0.04018997	-0.008725188	0.01160555	-0.1372182	-0.1662548	-0.3674016	0.00709047	0.11766	0.1265094	0.08880833	0.05744166	0.05121034	0.02557272	0.01296575	0.001104063	-0.01828774	-0.009265092	0.01497885	0.007679773	-0.02975413	-0.04268814	0.01524688	0.008828652	-10	-10	0.003397133	-0.01311826	-0.1823344	-0.2653332	-0.4486157	0.02964359	0.1747254	0.007663512	-0.05206874	-0.01514159	-0.007118653	0.0009395541	-0.005081539	-0.01436787	-0.009647903	0.001053629	0.01035455	0.004208619	-0.004852308	-0.01658606	-0.01972196	-0.02259607	-0.01345553	-0.0154804	-0.01803605	-0.01431746	-0.01089052	-0.02095532	-0.03537105	-0.03314086	-0.02136855	0.003374823	0.004543839	0.009808953	-0.00804003	-0.007253225	-0.02154225	-0.008245825	-0.02328479	-0.02589476	-0.03084307	-0.02709329	-0.01889721	-0.007925268	-0.006021501	-0.02186283	-0.03512941	-0.05112867	-0.06120792	-0.06854997	-0.07581998	-0.07002535	-0.06191484	-0.07321404	-0.07307556	-0.08213356	-0.06651778	-0.06046705	-0.05340062	-0.03858146	-0.02022619	0.00648959	0.02294116	0.04108959	0.08433934	0.1075903	0.1052127	0.09370971	0.05682809	0.0537163	0.0313753	0.02075452	0.006939583	0.008271946	0.02701593	0.03976269	0.0382478	0.002703996	-0.01902219	-0.02643253	-0.03423374	-0.04375651	-0.04022523	-0.04562968	-0.04662758	-0.06017079	-0.07365297	-0.06589553	-0.02709877	0.02082906	0.04480349	0.04286043	0.04495574	0.03386386	0.03723909	0.03789189	0.03001722	0.02861194	0.03110402	0.01233693	-0.00578647	-0.02367055	-0.03237809	-0.03154778	-0.03318299	-0.0402157	-0.02859445	-0.01990242	0.002716281	0.01212143	0.01685155	0.03861862	0.05874692	0.06509806	0.07078981	0.08384434	0.07930514	0.08254789	0.09480648	0.1119195	0.1238642	0.1132402	0.1070233	0.08903183	0.07121494	0.04873886	0.02509071	-0.02425625	-0.09746882	-0.2680281	-0.4688366	-0.4264342	-0.2230725	-0.1413765	0.0427931	0.01983279	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
