             VARIABLE : Potential temperature (deg_C)
             DATA SET : GODAS-MOM OUTPUT
             FILENAME : ts_5day.nc
             FILEPATH : /home/las/datasets/ocean_analysis/NRIG/
             BAD FLAG : -1.E+10       
             SUBSET   : 180 by 188 points (LONGITUDE-LATITUDE)
             DEPTH (m): 5
             TIME     : 06-AUG-2016 12:00 JULIAN
  	30.3E	30.8E	31.3E	31.8E	32.3E	32.8E	33.3E	33.8E	34.3E	34.8E	35.3E	35.8E	36.3E	36.8E	37.3E	37.8E	38.3E	38.8E	39.3E	39.8E	40.3E	40.8E	41.3E	41.8E	42.3E	42.8E	43.3E	43.8E	44.3E	44.8E	45.3E	45.8E	46.3E	46.8E	47.3E	47.8E	48.3E	48.8E	49.3E	49.8E	50.3E	50.8E	51.3E	51.8E	52.3E	52.8E	53.3E	53.8E	54.3E	54.8E	55.3E	55.8E	56.3E	56.8E	57.3E	57.8E	58.3E	58.8E	59.3E	59.8E	60.3E	60.8E	61.3E	61.8E	62.3E	62.8E	63.3E	63.8E	64.3E	64.8E	65.3E	65.8E	66.3E	66.8E	67.3E	67.8E	68.3E	68.8E	69.3E	69.8E	70.3E	70.8E	71.3E	71.8E	72.3E	72.8E	73.3E	73.8E	74.3E	74.8E	75.3E	75.8E	76.3E	76.8E	77.3E	77.8E	78.3E	78.8E	79.3E	79.8E	80.3E	80.8E	81.3E	81.8E	82.3E	82.8E	83.3E	83.8E	84.3E	84.8E	85.3E	85.8E	86.3E	86.8E	87.3E	87.8E	88.3E	88.8E	89.3E	89.8E	90.3E	90.8E	91.3E	91.8E	92.3E	92.8E	93.3E	93.8E	94.3E	94.8E	95.3E	95.8E	96.3E	96.8E	97.3E	97.8E	98.3E	98.8E	99.3E	99.8E	100.3E	100.8E	101.3E	101.8E	102.3E	102.8E	103.3E	103.8E	104.3E	104.8E	105.3E	105.8E	106.3E	106.8E	107.3E	107.8E	108.3E	108.8E	109.3E	109.8E	110.3E	110.8E	111.3E	111.8E	112.3E	112.8E	113.3E	113.8E	114.3E	114.8E	115.3E	115.8E	116.3E	116.8E	117.3E	117.8E	118.3E	118.8E	119.3E	119.8E
29.8S	-1.E+10	-1.E+10	21.15628	21.26977	21.46413	21.52405	21.52969	21.4018	21.38524	21.39047	21.4543	21.57812	21.71951	21.84293	21.91149	21.9464	21.95642	22.00203	22.02604	21.92572	21.73307	21.49147	21.16679	20.74827	20.31741	19.94757	19.71764	19.60861	19.43926	19.17432	18.91905	18.75728	18.84141	19.02855	19.11584	19.06125	18.98462	18.97705	19.04798	19.18186	19.3309	19.45775	19.56584	19.6388	19.69702	19.74555	19.80017	19.82562	19.8479	19.84337	19.79603	19.65289	19.42894	19.20062	19.03687	18.9147	18.85556	18.84036	18.86942	18.91526	18.96313	19.00752	19.04407	19.05396	19.04802	19.04222	19.00046	18.9703	18.92162	18.89904	18.88039	18.88302	18.8695	18.7878	18.62114	18.42877	18.28843	18.22485	18.15951	18.11105	18.05926	18.01935	17.94088	17.93071	17.90641	17.93191	17.99436	18.12955	18.41119	18.73862	18.99059	19.05662	19.03379	18.97291	18.88482	18.83902	18.86299	18.84164	18.72459	18.42525	18.03622	17.76379	17.72765	17.78951	17.80324	17.66618	17.56144	17.55796	17.56919	17.53289	17.58266	17.86109	18.22977	18.53288	18.65021	18.58905	18.41869	18.16909	17.94776	17.77376	17.72786	17.75097	17.83161	17.95316	18.08428	18.19602	18.29487	18.35276	18.37039	18.39534	18.38054	18.3146	18.18911	18.06423	18.00544	18.02426	18.11541	18.22326	18.32605	18.38767	18.38451	18.3352	18.26438	18.23282	18.20056	18.13286	17.97326	17.79401	17.66873	17.58221	17.49241	17.41617	17.36411	17.33285	17.29742	17.29667	17.41971	17.66098	17.94949	18.34335	18.78827	19.22768	19.63429	20.04386	20.36456	20.52345	20.57962	20.54135	20.34821	20.12305	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10
29.3S	-1.E+10	-1.E+10	-1.E+10	21.18764	21.48109	21.58227	21.62574	21.48431	21.47053	21.49975	21.58498	21.71937	21.84757	21.93094	21.9617	21.96091	21.96743	21.97122	21.9443	21.85491	21.71466	21.55676	21.38039	21.1346	20.83239	20.55878	20.37506	20.28502	20.17219	19.92954	19.58334	19.27924	19.26677	19.34965	19.3825	19.40029	19.43806	19.46681	19.51761	19.61919	19.71871	19.81469	19.93975	20.04404	20.09955	20.1124	20.11795	20.11192	20.13415	20.13901	20.08403	19.97272	19.8261	19.6524	19.4977	19.38146	19.32844	19.29109	19.27454	19.24085	19.21599	19.21545	19.22379	19.22832	19.25048	19.25678	19.23971	19.19221	19.16177	19.14169	19.15459	19.1738	19.15144	19.09229	18.91051	18.7409	18.62247	18.50698	18.41887	18.35422	18.35144	18.38653	18.45082	18.49576	18.56392	18.64322	18.71727	18.87992	19.14892	19.51353	19.82246	19.81671	19.75242	19.60435	19.47683	19.41925	19.4472	19.48379	19.40956	19.1921	18.87833	18.5656	18.35736	18.28435	18.29136	18.194	18.06889	18.08985	18.20181	18.23088	18.23805	18.36165	18.60576	18.87948	18.9964	18.95653	18.77898	18.59066	18.40546	18.22083	18.08368	18.03465	18.07924	18.18078	18.27746	18.35821	18.47814	18.59689	18.67133	18.68467	18.6272	18.5009	18.31729	18.19284	18.19794	18.30327	18.48984	18.61197	18.63483	18.61458	18.55626	18.45011	18.38229	18.34029	18.34786	18.32685	18.27957	18.12917	17.97039	17.82039	17.64069	17.49663	17.43524	17.4435	17.45662	17.502	17.6755	17.93215	18.16288	18.42279	18.79221	19.27051	19.81779	20.2942	20.55913	20.65064	20.66432	20.51053	20.24483	20.09456	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10
28.8S	-1.E+10	-1.E+10	-1.E+10	-1.E+10	21.6174	21.69829	21.71984	21.58807	21.5679	21.59948	21.67328	21.78817	21.8898	21.94546	21.95199	21.95018	21.93865	21.92571	21.88232	21.81674	21.76262	21.71232	21.62681	21.46891	21.25611	21.08606	21.00485	20.94451	20.84788	20.67234	20.39013	20.06553	19.85348	19.73051	19.64308	19.6624	19.75897	19.84912	19.93377	20.01612	20.04963	20.09917	20.19452	20.28043	20.33777	20.35522	20.34892	20.33224	20.35367	20.35491	20.301	20.20647	20.10496	19.97289	19.83713	19.74437	19.69328	19.64794	19.60134	19.5146	19.41916	19.38152	19.37277	19.37118	19.39573	19.44774	19.45822	19.45868	19.44287	19.45763	19.46461	19.47748	19.47956	19.40485	19.25962	19.06688	18.88388	18.75288	18.63057	18.59561	18.61938	18.73239	18.82174	18.94059	19.10458	19.27032	19.41076	19.56891	19.83739	20.17795	20.49006	20.50275	20.38829	20.21937	20.04184	20.04497	20.15397	20.19707	20.15511	19.98148	19.73494	19.40769	19.09509	18.89975	18.83936	18.73739	18.6238	18.6713	18.79613	18.83429	18.80787	18.81177	18.92675	19.11961	19.26523	19.26015	19.17559	19.08535	18.98087	18.82113	18.60048	18.44097	18.38997	18.42153	18.44992	18.48617	18.60453	18.76336	18.88716	18.90143	18.81306	18.63436	18.42072	18.32461	18.37957	18.54882	18.73492	18.86128	18.88964	18.86458	18.79776	18.71653	18.62062	18.55797	18.52705	18.57857	18.59755	18.5479	18.4091	18.23851	18.06735	17.8846	17.72596	17.64838	17.64386	17.67951	17.80359	18.00532	18.19034	18.43807	18.95855	19.58707	20.20227	20.62379	20.76164	20.75447	20.72047	20.34904	20.00178	20.12507	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10
28.3S	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	21.92305	21.82507	21.69812	21.65533	21.68381	21.75254	21.82946	21.90603	21.94263	21.95664	21.95827	21.95851	21.94322	21.90116	21.85703	21.83597	21.81159	21.7307	21.56967	21.40139	21.33576	21.35182	21.36925	21.33887	21.25212	21.1238	20.95238	20.74514	20.44513	20.16572	20.02185	20.0408	20.0905	20.16314	20.21596	20.24932	20.30892	20.38978	20.47507	20.53896	20.55188	20.54653	20.54026	20.54733	20.50856	20.44732	20.34765	20.25701	20.16284	20.07194	19.99449	19.92337	19.86691	19.8062	19.71425	19.59638	19.54495	19.52761	19.54628	19.56561	19.61948	19.67082	19.70156	19.75724	19.78545	19.77279	19.7849	19.75743	19.69967	19.50596	19.27746	19.09409	18.95356	18.88284	18.8674	18.95441	19.06515	19.19381	19.37574	19.60061	19.84682	20.04821	20.2433	20.49351	20.82141	21.08041	21.06505	20.93853	20.71208	20.64128	20.72327	20.84618	20.8648	20.77588	20.58827	20.34256	20.06245	19.76896	19.52812	19.40888	19.28174	19.18688	19.22931	19.311	19.2996	19.21847	19.17816	19.22539	19.3596	19.46709	19.50227	19.45909	19.41732	19.35019	19.25445	19.095	18.91526	18.76329	18.67146	18.60111	18.62007	18.76451	18.9514	19.08675	19.09683	18.97336	18.75885	18.54191	18.46877	18.53604	18.68018	18.8198	18.938	19.03683	19.08501	19.09091	19.0478	18.97122	18.85077	18.82415	18.86889	18.94443	18.93044	18.84316	18.70072	18.56022	18.3874	18.19419	18.0001	17.90682	17.89452	17.94568	18.05386	18.19803	18.58464	19.27884	19.99225	20.59945	20.91028	20.90286	20.90213	20.74909	20.2223	19.92807	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10
27.8S	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	22.03696	21.9253	21.84489	21.73804	21.71398	21.78207	21.86317	21.91674	21.9599	21.97054	21.97944	21.98488	21.9878	21.96318	21.92069	21.88223	21.83265	21.75772	21.63128	21.50107	21.4779	21.50024	21.49711	21.47888	21.48789	21.56113	21.62842	21.58868	21.35702	20.96981	20.59058	20.37834	20.31762	20.35619	20.41386	20.46547	20.52731	20.59402	20.66754	20.75879	20.80097	20.79457	20.76528	20.72293	20.64413	20.58396	20.49351	20.39934	20.31891	20.26731	20.19117	20.11013	20.03673	19.95784	19.87868	19.78802	19.76896	19.76324	19.76183	19.76172	19.79542	19.85207	19.90669	19.96511	20.01713	20.00274	19.97672	19.95254	19.86945	19.69791	19.47856	19.28923	19.2024	19.1468	19.19182	19.28991	19.46036	19.6384	19.89159	20.19576	20.46305	20.68431	20.87416	21.11442	21.35895	21.53075	21.51344	21.34261	21.20871	21.20584	21.3276	21.41168	21.34869	21.18295	20.94158	20.71049	20.48036	20.25131	20.02279	19.86471	19.71313	19.6356	19.64413	19.68068	19.56971	19.43482	19.41831	19.49831	19.59674	19.67841	19.69198	19.66482	19.65174	19.60819	19.51175	19.38556	19.21847	19.02996	18.85213	18.73732	18.78347	18.97529	19.16654	19.27371	19.28516	19.16734	18.94465	18.74599	18.6582	18.68732	18.79644	18.92115	19.04677	19.18389	19.29969	19.31831	19.28869	19.23311	19.18388	19.15856	19.19282	19.24436	19.24905	19.18501	19.08974	18.97228	18.79976	18.55961	18.34743	18.21277	18.14013	18.13134	18.1632	18.31907	18.88304	19.61973	20.3544	20.94574	21.15611	21.12336	21.11238	20.62385	20.05302	19.93611	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10
27.3S	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	22.17099	21.98251	21.99536	21.90546	21.79794	21.7828	21.87033	21.94379	21.97894	21.991	22.00727	22.02199	22.04763	22.10323	22.14935	22.08828	21.96906	21.86272	21.73922	21.59949	21.5477	21.51305	21.47576	21.44458	21.47944	21.65813	21.95743	22.18232	22.1348	21.92798	21.41278	20.89018	20.59782	20.62447	20.71711	20.79802	20.8417	20.88667	20.94164	21.05114	21.10804	21.06371	20.99821	20.9288	20.85902	20.82011	20.72593	20.57896	20.45184	20.38081	20.34034	20.2939	20.24273	20.17223	20.07951	19.99984	19.9972	20.0026	19.99439	19.97227	19.96431	19.99502	20.04206	20.09323	20.13578	20.14584	20.12463	20.09717	20.01102	19.84035	19.66675	19.53442	19.45351	19.42324	19.49119	19.63997	19.84533	20.10012	20.42295	20.7287	20.9769	21.16839	21.36164	21.53528	21.73915	21.87251	21.83663	21.7375	21.64289	21.68082	21.74149	21.69948	21.57732	21.32935	21.09905	20.86458	20.66956	20.49195	20.29934	20.1193	19.9801	19.90407	19.90507	19.8401	19.65214	19.56905	19.63684	19.75006	19.85425	19.92726	19.93918	19.90482	19.90689	19.86092	19.72087	19.54525	19.33491	19.12679	18.94544	18.84382	18.91364	19.11857	19.30114	19.39752	19.43287	19.3892	19.21305	19.02185	18.91298	18.91224	18.97468	19.1204	19.27617	19.42112	19.52605	19.56982	19.53969	19.50894	19.49031	19.47897	19.47645	19.50598	19.52025	19.4959	19.40643	19.29307	19.08179	18.80939	18.58556	18.43793	18.32392	18.33393	18.41106	18.67405	19.24628	19.96367	20.71516	21.32887	21.44728	21.38505	21.34796	20.39993	19.86032	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10
26.8S	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	22.11996	21.98799	22.07462	22.08852	21.97346	21.87016	21.86519	21.94208	21.99244	22.01765	22.03549	22.0534	22.08683	22.19197	22.39838	22.46444	22.33898	22.15103	21.97854	21.79615	21.68787	21.63054	21.59298	21.5226	21.4113	21.45815	21.91084	22.42583	22.66757	22.77689	22.45168	21.70418	21.12504	20.94668	21.03543	21.1524	21.19696	21.20529	21.21434	21.30023	21.35614	21.30938	21.2205	21.15036	21.11329	21.1013	21.02187	20.85916	20.68466	20.56213	20.5413	20.5225	20.49304	20.42838	20.35182	20.28776	20.26196	20.22494	20.18882	20.15685	20.12704	20.12968	20.17891	20.21457	20.24792	20.26748	20.27963	20.26433	20.1952	20.04544	19.87281	19.77188	19.70926	19.72662	19.82736	19.98393	20.19479	20.48121	20.79931	21.08272	21.26337	21.45534	21.63156	21.81911	22.00703	22.12486	22.12836	22.06406	22.03912	22.00931	21.96246	21.8117	21.54018	21.28237	21.05049	20.86922	20.71355	20.57533	20.42073	20.28913	20.18072	20.11053	20.03108	19.86992	19.70737	19.74528	19.93494	20.06841	20.1364	20.17111	20.16947	20.15947	20.17417	20.13301	19.97464	19.73662	19.4648	19.25064	19.10169	19.02288	19.05981	19.211	19.35962	19.4645	19.53491	19.54619	19.43736	19.30983	19.24032	19.26294	19.31399	19.41113	19.58624	19.73603	19.81434	19.85339	19.85586	19.83465	19.83727	19.79901	19.78114	19.77488	19.78953	19.76756	19.68493	19.54992	19.3079	19.01043	18.7862	18.59562	18.4472	18.52914	18.71911	19.01677	19.53482	20.26436	21.10216	21.75966	21.7901	21.69784	21.51455	20.25059	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10
26.3S	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	21.96449	21.95852	22.10098	22.21214	22.22033	22.08976	21.96213	21.92492	22.00548	22.07447	22.10994	22.13645	22.13812	22.1956	22.44462	22.68377	22.68658	22.5418	22.35248	22.13976	22.03697	22.04686	22.06843	21.95811	21.70103	21.43699	21.54808	22.19975	22.7222	23.1218	23.19814	22.65606	21.85685	21.40905	21.40376	21.49128	21.50731	21.46192	21.44165	21.52161	21.58199	21.53719	21.43988	21.34792	21.32463	21.33875	21.328	21.23811	21.07181	20.91547	20.83969	20.79126	20.73526	20.66985	20.61523	20.57734	20.53428	20.45905	20.38076	20.3508	20.30558	20.29288	20.31946	20.35019	20.37689	20.43513	20.46511	20.49262	20.48136	20.36238	20.17358	20.04882	20.00158	20.00809	20.09711	20.25862	20.49175	20.78904	21.06487	21.29113	21.44876	21.60825	21.7827	21.96948	22.15303	22.28311	22.31352	22.31797	22.27619	22.2254	22.07863	21.79228	21.48267	21.23976	21.05806	20.90578	20.78267	20.66174	20.54725	20.4204	20.30436	20.17352	20.03228	19.89265	19.87251	20.06111	20.2692	20.35979	20.36379	20.35442	20.34995	20.37616	20.40417	20.39662	20.28617	20.06789	19.79214	19.55275	19.40137	19.30275	19.25118	19.29654	19.39275	19.48864	19.57641	19.63336	19.60434	19.60543	19.67167	19.74014	19.7606	19.81072	19.93622	20.07177	20.13306	20.1729	20.1919	20.18844	20.15316	20.13504	20.0953	20.07617	20.05575	20.01039	19.91227	19.75378	19.50296	19.22831	18.98353	18.7451	18.54328	18.63605	18.92797	19.24972	19.73759	20.51386	21.42792	22.09824	22.16119	21.99622	21.61737	19.96306	18.66435	18.22551	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10
25.8S	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	22.01285	21.96517	22.10199	22.27411	22.42028	22.39935	22.22717	22.0378	22.03952	22.12711	22.19586	22.23859	22.23184	22.24733	22.47116	22.78298	22.88557	22.85155	22.75371	22.6107	22.57285	22.61934	22.6095	22.34099	21.98825	21.60282	21.36782	21.58263	22.10093	23.11516	23.48496	23.35358	22.51804	21.92129	21.78186	21.78475	21.77231	21.74018	21.78692	21.88321	21.91283	21.85532	21.72219	21.58621	21.54592	21.57043	21.58179	21.55067	21.43812	21.29622	21.1897	21.10935	21.02311	20.93258	20.8721	20.86178	20.84565	20.74602	20.63198	20.57762	20.52615	20.51342	20.5446	20.55025	20.54362	20.61267	20.68315	20.75117	20.78372	20.71867	20.55245	20.37027	20.25945	20.24267	20.31676	20.52147	20.84594	21.16587	21.36947	21.50007	21.6011	21.73547	21.8806	22.05438	22.22888	22.33133	22.39658	22.4065	22.40123	22.28576	22.07175	21.77007	21.46514	21.28785	21.16117	21.05414	20.93499	20.82045	20.65746	20.45106	20.2713	20.12909	20.02123	20.01258	20.18684	20.41961	20.59995	20.6375	20.60759	20.56509	20.53951	20.54718	20.59827	20.61237	20.59369	20.46045	20.2343	19.96959	19.78499	19.64555	19.53119	19.47297	19.49	19.56759	19.63681	19.71023	19.78092	19.91091	20.06784	20.16459	20.15825	20.15462	20.23248	20.32385	20.42283	20.45878	20.48558	20.4964	20.46104	20.44021	20.41253	20.36131	20.3023	20.201	20.08207	19.91539	19.67622	19.41772	19.15535	18.92253	18.77916	18.90348	19.21634	19.52179	19.95204	20.7273	21.67759	22.39038	22.5153	22.33319	21.91856	20.65888	19.00594	18.33291	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10
25.3S	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	22.13217	22.0926	22.10244	22.24651	22.48524	22.64535	22.58513	22.28345	22.06938	22.11486	22.22033	22.32575	22.36099	22.42502	22.71386	22.99459	23.10372	23.14518	23.14468	23.12587	23.1234	23.14634	23.10314	22.66969	22.39851	-1.E+10	21.4842	21.48009	21.66396	22.75676	23.62246	23.65054	22.99233	22.36673	22.132	22.07581	22.0464	22.07978	22.19775	22.24656	22.21967	22.17861	22.07029	21.94456	21.87272	21.86603	21.8556	21.81222	21.7271	21.62672	21.53844	21.46452	21.36421	21.25068	21.19	21.19453	21.20431	21.11334	20.96507	20.86158	20.78074	20.80338	20.88252	20.89393	20.85547	20.90008	20.96324	21.01419	21.03325	20.98346	20.83823	20.63322	20.48647	20.48891	20.60885	20.89982	21.26862	21.53406	21.6399	21.68113	21.73321	21.83147	21.9568	22.10787	22.2528	22.35955	22.42097	22.46412	22.41615	22.28261	22.06875	21.76542	21.50913	21.36245	21.29351	21.23234	21.15617	21.0297	20.78832	20.49481	20.2728	20.13673	20.10737	20.2169	20.45642	20.67606	20.83381	20.89954	20.90356	20.85838	20.79833	20.75912	20.75372	20.79527	20.82155	20.79296	20.62126	20.37483	20.1621	20.02894	19.94501	19.86315	19.80835	19.81749	19.82195	19.85237	19.969	20.15215	20.32389	20.41417	20.42798	20.43174	20.47856	20.56301	20.62136	20.68496	20.73923	20.735	20.72445	20.69825	20.66203	20.58871	20.47321	20.3606	20.2542	20.09908	19.87066	19.60168	19.3337	19.1649	19.16193	19.32952	19.57561	19.8668	20.29663	21.02583	21.93566	22.64344	22.82687	22.67857	22.27753	21.13493	19.53814	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10
