             VARIABLE : Salinity (psu)
             DATA SET : GODAS-MOM OUTPUT
             FILENAME : ts_5day.nc
             FILEPATH : /home/las/datasets/ocean_analysis/NRIG/
             BAD FLAG : -1.E+10       
             SUBSET   : 180 by 188 points (LONGITUDE-LATITUDE)
             DEPTH (m): 5
             TIME     : 06-AUG-2016 12:00 JULIAN
  	30.3E	30.8E	31.3E	31.8E	32.3E	32.8E	33.3E	33.8E	34.3E	34.8E	35.3E	35.8E	36.3E	36.8E	37.3E	37.8E	38.3E	38.8E	39.3E	39.8E	40.3E	40.8E	41.3E	41.8E	42.3E	42.8E	43.3E	43.8E	44.3E	44.8E	45.3E	45.8E	46.3E	46.8E	47.3E	47.8E	48.3E	48.8E	49.3E	49.8E	50.3E	50.8E	51.3E	51.8E	52.3E	52.8E	53.3E	53.8E	54.3E	54.8E	55.3E	55.8E	56.3E	56.8E	57.3E	57.8E	58.3E	58.8E	59.3E	59.8E	60.3E	60.8E	61.3E	61.8E	62.3E	62.8E	63.3E	63.8E	64.3E	64.8E	65.3E	65.8E	66.3E	66.8E	67.3E	67.8E	68.3E	68.8E	69.3E	69.8E	70.3E	70.8E	71.3E	71.8E	72.3E	72.8E	73.3E	73.8E	74.3E	74.8E	75.3E	75.8E	76.3E	76.8E	77.3E	77.8E	78.3E	78.8E	79.3E	79.8E	80.3E	80.8E	81.3E	81.8E	82.3E	82.8E	83.3E	83.8E	84.3E	84.8E	85.3E	85.8E	86.3E	86.8E	87.3E	87.8E	88.3E	88.8E	89.3E	89.8E	90.3E	90.8E	91.3E	91.8E	92.3E	92.8E	93.3E	93.8E	94.3E	94.8E	95.3E	95.8E	96.3E	96.8E	97.3E	97.8E	98.3E	98.8E	99.3E	99.8E	100.3E	100.8E	101.3E	101.8E	102.3E	102.8E	103.3E	103.8E	104.3E	104.8E	105.3E	105.8E	106.3E	106.8E	107.3E	107.8E	108.3E	108.8E	109.3E	109.8E	110.3E	110.8E	111.3E	111.8E	112.3E	112.8E	113.3E	113.8E	114.3E	114.8E	115.3E	115.8E	116.3E	116.8E	117.3E	117.8E	118.3E	118.8E	119.3E	119.8E
29.8S	-1.E+10	-1.E+10	35.45584	35.4528	35.45972	35.45559	35.42595	35.41319	35.42471	35.44884	35.46664	35.47214	35.48419	35.50394	35.5148	35.52091	35.5299	35.54398	35.56038	35.57693	35.59241	35.59999	35.60036	35.59938	35.59973	35.60139	35.60296	35.60288	35.60291	35.60325	35.60708	35.6134	35.6228	35.63623	35.643	35.64757	35.65354	35.66209	35.66744	35.67215	35.6813	35.69176	35.70216	35.71134	35.71878	35.72459	35.73375	35.7489	35.77039	35.79118	35.8145	35.83644	35.84932	35.85653	35.85944	35.85611	35.8546	35.84641	35.83779	35.82578	35.80936	35.79381	35.77983	35.76844	35.75958	35.75225	35.74443	35.73654	35.73074	35.72987	35.73208	35.73633	35.74148	35.74295	35.73589	35.7203	35.70509	35.70153	35.71168	35.73984	35.77494	35.79659	35.79669	35.78199	35.75971	35.74478	35.74291	35.75504	35.78887	35.82531	35.84343	35.84377	35.84283	35.8417	35.83916	35.82644	35.79449	35.75719	35.72595	35.70362	35.68433	35.66732	35.66362	35.67209	35.6823	35.6832	35.68527	35.69115	35.69801	35.69994	35.70219	35.70905	35.71611	35.71961	35.72075	35.72065	35.72153	35.72654	35.73429	35.74585	35.76046	35.78043	35.80703	35.84076	35.87647	35.90887	35.93054	35.94246	35.94818	35.94943	35.94675	35.94238	35.94461	35.95922	35.96983	35.97041	35.96923	35.97215	35.97767	35.98578	35.99674	35.99759	35.98383	35.95662	35.93568	35.93363	35.95084	35.97707	35.9995	36.01495	36.02322	36.02264	36.01372	36.00345	35.99958	36.00655	36.02739	36.05251	36.06151	36.02112	35.88822	35.66463	35.44526	35.26216	35.12757	35.06568	35.05307	35.07477	35.18568	35.32188	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10
29.3S	-1.E+10	-1.E+10	-1.E+10	35.44742	35.46369	35.47251	35.44384	35.4131	35.41346	35.42961	35.45099	35.46939	35.49014	35.50146	35.49847	35.49598	35.51241	35.54226	35.56464	35.57964	35.58603	35.57259	35.54716	35.52709	35.52334	35.52562	35.52759	35.52839	35.53414	35.54407	35.55551	35.56348	35.57282	35.59612	35.61716	35.63103	35.64156	35.64641	35.64496	35.64461	35.64919	35.65995	35.67332	35.68601	35.69831	35.7113	35.72649	35.74548	35.76651	35.7848	35.80564	35.827	35.84312	35.85311	35.8555	35.85182	35.84389	35.82819	35.81306	35.7986	35.78185	35.76883	35.7613	35.75495	35.74964	35.74434	35.73639	35.72908	35.72467	35.72524	35.72866	35.73167	35.7342	35.73513	35.72965	35.71576	35.70148	35.69448	35.70095	35.72512	35.75769	35.78783	35.80789	35.81511	35.81674	35.81728	35.81982	35.82984	35.84584	35.85263	35.84906	35.84053	35.83163	35.8248	35.81876	35.8001	35.76093	35.7198	35.68972	35.6691	35.65283	35.64337	35.64752	35.66557	35.68226	35.6904	35.69277	35.69693	35.70375	35.70904	35.71151	35.71417	35.71885	35.7248	35.73159	35.73142	35.72887	35.73195	35.73856	35.7464	35.75667	35.77323	35.80122	35.83721	35.87433	35.90419	35.92064	35.92525	35.92408	35.91637	35.90797	35.90628	35.91618	35.93443	35.94499	35.94394	35.93769	35.93337	35.93533	35.94349	35.95716	35.96691	35.9651	35.94569	35.92582	35.91528	35.91772	35.93222	35.95776	35.98773	36.01531	36.02777	36.03165	36.03502	36.0435	36.0592	36.07962	36.0919	36.08477	35.99934	35.80245	35.55999	35.3423	35.15663	35.03648	35.00354	35.00471	35.05995	35.21649	35.33382	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10
28.8S	-1.E+10	-1.E+10	-1.E+10	-1.E+10	35.46043	35.48209	35.46091	35.4196	35.41505	35.42741	35.45153	35.47176	35.48074	35.46705	35.43903	35.43016	35.44522	35.47935	35.50591	35.51704	35.50456	35.47002	35.43294	35.40683	35.39949	35.40022	35.40474	35.40973	35.41123	35.41525	35.42499	35.43967	35.455	35.48895	35.52907	35.55756	35.57534	35.58054	35.5788	35.57905	35.58254	35.59196	35.60855	35.63287	35.65815	35.68368	35.7105	35.73469	35.75358	35.77002	35.79015	35.80651	35.81342	35.81795	35.82007	35.81479	35.80421	35.79065	35.77806	35.76846	35.76093	35.75885	35.75841	35.75503	35.75236	35.74678	35.73947	35.73477	35.73244	35.73366	35.73495	35.73482	35.7338	35.73046	35.72234	35.7087	35.69325	35.68753	35.69344	35.71479	35.74479	35.777	35.80278	35.82161	35.83648	35.84579	35.85146	35.85571	35.85334	35.83677	35.81313	35.79683	35.7885	35.78292	35.77404	35.7463	35.70167	35.668	35.64829	35.63424	35.61914	35.61049	35.61441	35.63535	35.66331	35.68069	35.68682	35.69116	35.69958	35.70944	35.71532	35.71854	35.72387	35.73769	35.75284	35.75674	35.75193	35.7529	35.75479	35.75802	35.76368	35.77668	35.80125	35.83466	35.86673	35.89038	35.9038	35.90841	35.90551	35.89386	35.88008	35.87659	35.88998	35.91327	35.925	35.92112	35.90213	35.87751	35.86851	35.87637	35.89358	35.91142	35.92112	35.9254	35.92067	35.91314	35.90735	35.90808	35.91873	35.94505	35.97887	36.00925	36.02878	36.04233	36.05931	36.07936	36.1016	36.1132	36.09878	35.96559	35.70266	35.45943	35.23895	35.06367	34.96872	34.96162	34.96826	35.11195	35.36235	35.40537	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10
28.3S	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	35.48571	35.47687	35.43872	35.42077	35.42646	35.44887	35.46338	35.45616	35.4164	35.37419	35.36738	35.37217	35.38091	35.38594	35.38865	35.38181	35.36061	35.33996	35.32619	35.32077	35.32047	35.32308	35.32367	35.31976	35.31356	35.31046	35.31435	35.3293	35.36451	35.40955	35.44834	35.47583	35.4843	35.48063	35.48238	35.48867	35.49961	35.52503	35.56033	35.59452	35.63091	35.66916	35.69979	35.71728	35.73274	35.75618	35.77646	35.78397	35.78219	35.77289	35.76063	35.75105	35.75073	35.75661	35.76698	35.77432	35.7762	35.77726	35.77421	35.76772	35.7585	35.74886	35.74405	35.7439	35.74376	35.74064	35.73662	35.73185	35.72535	35.71312	35.69739	35.6855	35.68158	35.68785	35.70988	35.74174	35.77303	35.79784	35.81746	35.83275	35.84161	35.84228	35.8359	35.81385	35.78033	35.75098	35.73637	35.73065	35.72739	35.7087	35.66877	35.63153	35.60948	35.60206	35.59673	35.58852	35.58177	35.58458	35.60191	35.6289	35.65105	35.66465	35.67706	35.69137	35.70389	35.71338	35.7223	35.74051	35.76531	35.78864	35.79632	35.79197	35.79203	35.79192	35.78807	35.78487	35.78767	35.80245	35.8275	35.85201	35.87305	35.89253	35.9063	35.90706	35.89455	35.87045	35.85688	35.86094	35.87789	35.88753	35.87927	35.84953	35.81012	35.78447	35.77771	35.79083	35.82205	35.85637	35.88957	35.90518	35.90551	35.90281	35.90085	35.90277	35.91634	35.93833	35.96469	35.99265	36.0204	36.04681	36.07268	36.09931	36.1155	36.09503	35.8997	35.61583	35.37208	35.15799	34.99615	34.92709	34.92397	34.95858	35.16048	35.37586	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10
27.8S	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	35.48405	35.4914	35.46463	35.43105	35.42388	35.43594	35.44721	35.42972	35.37725	35.35315	35.35555	35.36593	35.36888	35.36619	35.35625	35.34301	35.33329	35.32708	35.321	35.31237	35.30464	35.29889	35.29369	35.2857	35.27107	35.25089	35.23591	35.23946	35.26481	35.30574	35.34991	35.38024	35.39615	35.39682	35.39426	35.39651	35.40722	35.43566	35.47413	35.51234	35.55395	35.59721	35.63356	35.65484	35.67625	35.70706	35.73477	35.74365	35.7383	35.7274	35.72188	35.72577	35.74451	35.77092	35.7994	35.82057	35.82225	35.81333	35.79799	35.78074	35.76699	35.75597	35.74846	35.746	35.74386	35.73848	35.73265	35.72772	35.72249	35.71368	35.70181	35.69286	35.69207	35.69981	35.72107	35.74714	35.77405	35.7924	35.80427	35.81167	35.81207	35.80225	35.77696	35.74056	35.70691	35.68423	35.67488	35.67523	35.66419	35.63619	35.59998	35.57602	35.56795	35.56647	35.56483	35.56081	35.56227	35.56977	35.58429	35.60066	35.61818	35.64214	35.66925	35.69235	35.70856	35.7256	35.7553	35.79594	35.83324	35.8553	35.85895	35.85745	35.86196	35.85905	35.84332	35.82399	35.81149	35.81256	35.82436	35.83892	35.85892	35.88624	35.91032	35.91693	35.90664	35.87897	35.85162	35.83764	35.83992	35.84068	35.82567	35.79525	35.76199	35.72885	35.70553	35.71143	35.74069	35.78341	35.8217	35.84855	35.86201	35.87023	35.87733	35.88583	35.8973	35.91158	35.92922	35.95378	35.98446	36.01966	36.05684	36.09415	36.10917	36.052	35.81129	35.55001	35.31968	35.1127	34.95732	34.89792	34.90058	35.03622	35.22691	35.37621	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10
27.3S	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	35.46402	35.49982	35.49054	35.45493	35.42859	35.42436	35.43038	35.42006	35.37349	35.35191	35.35923	35.3803	35.39815	35.40834	35.40491	35.38452	35.36465	35.35478	35.34966	35.34204	35.33155	35.32002	35.30809	35.29242	35.27025	35.2381	35.19611	35.1705	35.18295	35.20501	35.2528	35.30293	35.33486	35.34383	35.3412	35.33736	35.34249	35.36242	35.39626	35.43333	35.47131	35.51477	35.55491	35.58238	35.61012	35.6501	35.68785	35.70158	35.69815	35.6922	35.69545	35.71525	35.74903	35.7874	35.8225	35.84113	35.84059	35.82513	35.80195	35.77997	35.7626	35.74884	35.74219	35.73927	35.7376	35.73384	35.72984	35.72643	35.72283	35.718	35.71375	35.71146	35.7144	35.72255	35.73662	35.75294	35.76533	35.76927	35.76952	35.77207	35.76839	35.74569	35.70713	35.67206	35.64396	35.62862	35.62467	35.62057	35.6059	35.57825	35.55571	35.54653	35.54426	35.5472	35.55219	35.5587	35.56598	35.5765	35.58791	35.60437	35.62846	35.65849	35.68727	35.71065	35.73448	35.77741	35.83624	35.88961	35.92152	35.93097	35.925	35.91562	35.90751	35.89954	35.88847	35.86858	35.84487	35.83127	35.83125	35.83868	35.8549	35.88393	35.91394	35.9276	35.92532	35.90395	35.86894	35.84031	35.82431	35.81186	35.79092	35.76173	35.72827	35.69881	35.67681	35.67414	35.68576	35.71037	35.73598	35.76121	35.7844	35.80429	35.82497	35.84697	35.86808	35.88687	35.906	35.9301	35.96341	36.00488	36.05499	36.09645	36.09478	35.97281	35.73475	35.50237	35.28751	35.07265	34.91824	34.87424	34.89699	35.11931	35.3314	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10
26.8S	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	35.44264	35.50275	35.509	35.48336	35.44975	35.42408	35.41864	35.41778	35.38474	35.35664	35.35723	35.37118	35.39177	35.4241	35.4438	35.43955	35.41927	35.40717	35.40331	35.40263	35.4018	35.39959	35.39487	35.37986	35.34253	35.30557	35.21442	35.14524	35.12757	35.12411	35.15444	35.221	35.27262	35.29816	35.31003	35.3122	35.31559	35.32751	35.3511	35.37937	35.40832	35.44753	35.4899	35.52128	35.55214	35.58937	35.63034	35.65733	35.66549	35.66468	35.66738	35.68447	35.71558	35.74821	35.77576	35.79699	35.80398	35.79799	35.78159	35.76112	35.7444	35.73372	35.72678	35.72668	35.72748	35.72654	35.72411	35.72178	35.71931	35.71687	35.71722	35.72132	35.72541	35.73111	35.73571	35.73497	35.72953	35.72313	35.72136	35.72204	35.71257	35.67345	35.63173	35.60078	35.58557	35.58012	35.57704	35.57499	35.55996	35.54229	35.53051	35.52811	35.53665	35.5528	35.5863	35.62093	35.64246	35.65287	35.66339	35.67519	35.69236	35.7095	35.72421	35.7444	35.78985	35.85904	35.92033	35.95353	35.96218	35.95568	35.934	35.90755	35.88297	35.87304	35.87877	35.8834	35.87617	35.86091	35.855	35.8536	35.86113	35.8846	35.91471	35.93835	35.94572	35.93397	35.90137	35.86185	35.82734	35.79927	35.77008	35.73701	35.69816	35.67019	35.65587	35.6547	35.65862	35.67069	35.68448	35.70251	35.72293	35.74591	35.76999	35.79708	35.82613	35.85516	35.88568	35.91805	35.9563	36.00214	36.05512	36.09364	36.07695	35.93703	35.71523	35.49096	35.26779	35.0191	34.86189	34.85244	34.90757	35.15976	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10
26.3S	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	35.44325	35.50687	35.51678	35.50524	35.4812	35.44859	35.41932	35.41092	35.40242	35.38203	35.37129	35.37151	35.37757	35.40864	35.44919	35.45865	35.43921	35.42217	35.41943	35.42229	35.42413	35.42317	35.42715	35.44219	35.43962	35.42223	35.29362	35.17251	35.11796	35.08219	35.08114	35.14417	35.21396	35.25808	35.28205	35.29208	35.29955	35.31174	35.32917	35.34922	35.36988	35.39989	35.43657	35.4693	35.50276	35.53717	35.57331	35.6068	35.62819	35.63527	35.63533	35.63855	35.65064	35.66698	35.6785	35.68857	35.6987	35.70929	35.71729	35.71513	35.71049	35.70464	35.70198	35.70262	35.70244	35.69645	35.69036	35.68607	35.68477	35.68924	35.7001	35.7068	35.70868	35.70749	35.70228	35.69139	35.67788	35.66526	35.65965	35.65285	35.62729	35.5859	35.54293	35.52734	35.53062	35.53245	35.53864	35.53724	35.53338	35.52256	35.51902	35.53326	35.56877	35.63884	35.71478	35.76537	35.78512	35.79374	35.79722	35.78843	35.77245	35.76133	35.76218	35.79541	35.85915	35.91231	35.9388	35.94686	35.94291	35.92129	35.88707	35.84053	35.79685	35.77994	35.79475	35.83597	35.86609	35.87466	35.87887	35.87931	35.88154	35.89477	35.91962	35.94626	35.96104	35.95655	35.92224	35.87256	35.82293	35.77541	35.73327	35.69813	35.6643	35.64312	35.64108	35.64466	35.65585	35.67177	35.68639	35.70049	35.7162	35.73199	35.75007	35.77132	35.79824	35.83169	35.87132	35.91203	35.95378	35.99797	36.04621	36.08137	36.06424	35.94423	35.75042	35.52587	35.26785	34.98958	34.82523	34.83703	34.95347	35.21463	35.41267	35.46024	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10
25.8S	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	35.4379	35.50038	35.51833	35.51671	35.50698	35.48472	35.44437	35.40958	35.40707	35.40306	35.39407	35.38249	35.37965	35.40338	35.45037	35.46535	35.44	35.40642	35.3969	35.39769	35.39423	35.38792	35.39614	35.43496	35.45847	35.45104	35.35151	35.24997	35.1772	35.0707	35.04115	35.07893	35.1675	35.22849	35.2618	35.27507	35.28405	35.29522	35.30808	35.32428	35.33994	35.36188	35.39097	35.42043	35.45353	35.48887	35.52148	35.55269	35.58039	35.59656	35.59845	35.59622	35.59537	35.59787	35.5966	35.59389	35.59328	35.59935	35.6166	35.63273	35.64779	35.65496	35.65956	35.66139	35.6572	35.64191	35.62534	35.61462	35.61409	35.62376	35.6429	35.65797	35.66508	35.66738	35.66018	35.64063	35.61097	35.58644	35.57231	35.55711	35.52539	35.48863	35.45716	35.44944	35.46488	35.48537	35.50137	35.51607	35.51923	35.52039	35.52832	35.56319	35.63667	35.73859	35.82708	35.86957	35.88504	35.88808	35.88541	35.86934	35.84285	35.82229	35.82423	35.86401	35.89764	35.89245	35.86401	35.83112	35.80887	35.79229	35.77219	35.734	35.69008	35.66868	35.67133	35.7126	35.77938	35.83876	35.87262	35.89033	35.89942	35.90908	35.92767	35.9506	35.96408	35.95963	35.92218	35.85888	35.78773	35.72556	35.6835	35.65487	35.6315	35.62605	35.63219	35.65065	35.68024	35.70884	35.72447	35.73077	35.73607	35.74423	35.75638	35.77467	35.80026	35.8334	35.87235	35.91347	35.9536	35.99204	36.02984	36.05562	36.03943	35.95806	35.8054	35.58221	35.29441	34.98071	34.80375	34.83408	34.96825	35.15758	35.37207	35.44585	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10
25.3S	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	35.42983	35.48474	35.51527	35.51807	35.50896	35.50509	35.48344	35.42953	35.39831	35.3992	35.39408	35.38605	35.38737	35.4165	35.46031	35.46213	35.42523	35.37786	35.35485	35.35302	35.35058	35.355	35.37778	35.43261	35.45646	-1.E+10	35.30524	35.2821	35.23772	35.09341	35.01749	35.03119	35.13875	35.21102	35.24947	35.26143	35.2675	35.27248	35.27996	35.29256	35.30628	35.32816	35.35703	35.38602	35.41598	35.44679	35.47328	35.49823	35.5243	35.54358	35.55028	35.54839	35.54418	35.53849	35.52972	35.51916	35.5144	35.51873	35.53226	35.55205	35.57348	35.58698	35.59999	35.60917	35.6071	35.59258	35.57373	35.56221	35.56488	35.58543	35.61127	35.63229	35.64246	35.63872	35.6149	35.56943	35.51488	35.4826	35.46532	35.44997	35.42601	35.4059	35.39423	35.39599	35.41372	35.43931	35.46845	35.49208	35.51394	35.52201	35.53697	35.59074	35.68115	35.78457	35.85796	35.89277	35.89996	35.89808	35.89341	35.8885	35.88244	35.87895	35.88245	35.8925	35.87082	35.80397	35.72005	35.64428	35.59913	35.58847	35.59502	35.59383	35.586	35.57356	35.56999	35.58888	35.65504	35.74105	35.81268	35.85915	35.88416	35.90212	35.91788	35.93164	35.9383	35.93088	35.88911	35.81531	35.73978	35.68228	35.64753	35.62605	35.61355	35.61425	35.63587	35.67605	35.72482	35.76003	35.77028	35.76923	35.76811	35.76764	35.77306	35.78913	35.81469	35.84639	35.88271	35.92191	35.9569	35.98763	36.01506	36.03481	36.02546	35.96432	35.83165	35.60756	35.2986	34.95252	34.77597	34.82241	34.98576	35.15564	35.32211	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10	-1.E+10
