             VARIABLE : zonal current (m/sec)
             DATA SET : GODAS-MOM OUTPUT
             FILENAME : uv_5day.nc
             FILEPATH : /home/las/datasets/ocean_analysis/NRIG/
             BAD FLAG : -10           
             SUBSET   : 181 by 189 points (LONGITUDE-LATITUDE)
             DEPTH (m): 5
             TIME     : 06-AUG-2016 12:00 JULIAN
  	30E  	30.5E	31E  	31.5E	32E  	32.5E	33E  	33.5E	34E  	34.5E	35E  	35.5E	36E  	36.5E	37E  	37.5E	38E  	38.5E	39E  	39.5E	40E  	40.5E	41E  	41.5E	42E  	42.5E	43E  	43.5E	44E  	44.5E	45E  	45.5E	46E  	46.5E	47E  	47.5E	48E  	48.5E	49E  	49.5E	50E  	50.5E	51E  	51.5E	52E  	52.5E	53E  	53.5E	54E  	54.5E	55E  	55.5E	56E  	56.5E	57E  	57.5E	58E  	58.5E	59E  	59.5E	60E  	60.5E	61E  	61.5E	62E  	62.5E	63E  	63.5E	64E  	64.5E	65E  	65.5E	66E  	66.5E	67E  	67.5E	68E  	68.5E	69E  	69.5E	70E  	70.5E	71E  	71.5E	72E  	72.5E	73E  	73.5E	74E  	74.5E	75E  	75.5E	76E  	76.5E	77E  	77.5E	78E  	78.5E	79E  	79.5E	80E  	80.5E	81E  	81.5E	82E  	82.5E	83E  	83.5E	84E  	84.5E	85E  	85.5E	86E  	86.5E	87E  	87.5E	88E  	88.5E	89E  	89.5E	90E  	90.5E	91E  	91.5E	92E  	92.5E	93E  	93.5E	94E  	94.5E	95E  	95.5E	96E  	96.5E	97E  	97.5E	98E  	98.5E	99E  	99.5E	100E  	100.5E	101E  	101.5E	102E  	102.5E	103E  	103.5E	104E  	104.5E	105E  	105.5E	106E  	106.5E	107E  	107.5E	108E  	108.5E	109E  	109.5E	110E  	110.5E	111E  	111.5E	112E  	112.5E	113E  	113.5E	114E  	114.5E	115E  	115.5E	116E  	116.5E	117E  	117.5E	118E  	118.5E	119E  	119.5E	120E  
30S	-10	-10	-10	-0.02888282	-0.1512652	-0.3197992	-0.2767052	-0.09563375	-0.01194368	0.003670166	0.02743108	0.01167888	0.001855796	0.00006193366	-0.02318099	-0.02354746	-0.01422178	0.005227579	0.01041502	0.001681157	-0.01395554	-0.02808421	-0.0398606	-0.04741561	-0.04817934	-0.04631419	-0.04469016	-0.03328628	-0.01099705	-0.006239879	-0.005733413	-0.00308583	-0.01167947	-0.01693841	-0.0212001	-0.01776345	-0.01421646	-0.01714851	-0.02053062	-0.01393416	-0.009197792	-0.00654519	-0.0009250437	0.006104078	0.02148875	0.03366383	0.03760476	0.03930137	0.04275466	0.03891378	0.03602504	0.03701358	0.03797918	0.03854807	0.03556234	0.03527037	0.0363404	0.04183878	0.04784888	0.04731082	0.04685334	0.03915781	0.04273887	0.04017755	0.03815759	0.05500395	0.05068816	0.05105852	0.04674423	0.04873961	0.05074242	0.05192678	0.04571198	0.03491798	0.02323857	0.01364626	0.006729644	0.009666603	0.01204098	0.0125818	0.01321829	0.01310982	0.01126036	0.01333471	0.02100281	0.03108818	0.03272055	0.04678809	0.05816802	0.059145	0.08404705	0.08780749	0.09632459	0.08780237	0.08360348	0.08070016	0.07641282	0.08031471	0.07821313	0.071257	0.06001788	0.05235173	0.0473568	0.03792827	0.02825628	0.005634701	0.004018115	-0.002794872	-0.005522105	0.004794618	-0.008206762	0.00803504	-0.007956976	-0.003004552	0.00846895	0.004467558	0.006191549	-0.0003781791	-0.01877669	-0.01987464	-0.02094909	-0.02393126	-0.02541187	-0.02699604	-0.02654864	-0.02710807	-0.0346682	-0.03277974	-0.01888001	-0.01083566	-0.004451664	0.002878003	0.00450808	-0.00469778	0.003417708	0.01820412	0.04402743	0.04238594	0.04717086	0.03261042	0.009290741	0.01648423	0.007622807	-0.002132395	-0.02416361	-0.0288772	-0.0424735	-0.05963778	-0.05908371	-0.06620404	-0.06135383	-0.06689363	-0.06845555	-0.0718465	-0.07813	-0.07565091	-0.07360502	-0.06336376	-0.04941267	-0.03131368	-0.004843378	0.02077947	0.05022687	0.08566715	0.1230618	0.1346774	0.1509727	0.1888903	0.08939834	-0.2279058	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
29.5S	-10	-10	-10	-10	-0.02761675	-0.1606171	-0.2871782	-0.1561285	-0.05187993	-0.01291228	-0.01459942	-0.01107855	-0.03681518	-0.07402886	-0.08919562	-0.09834156	-0.07869749	-0.06035057	-0.05469692	-0.053827	-0.05671109	-0.05907102	-0.05746786	-0.0393802	-0.02386709	-0.009379035	0.008529089	0.01909174	0.02102479	0.02935418	0.02287471	0.002384445	-0.002457662	-0.009417651	0.0002284052	-0.005026752	-0.006923262	-0.0003490602	-0.002549582	0.001022046	0.008964094	0.01679434	0.01948402	0.03271683	0.04183764	0.04477828	0.04811976	0.04513563	0.03907093	0.03738459	0.03662854	0.04013243	0.03935577	0.03699007	0.03920418	0.04115492	0.04865565	0.05601338	0.06013583	0.05998818	0.05094558	0.05068207	0.0448841	0.04166064	0.037691	0.02659214	0.03293788	0.03157003	0.03930138	0.03654255	0.03816155	0.037808	0.03995923	0.03687583	0.02983682	0.02534401	0.02437219	0.02229362	0.01899657	0.01525352	0.01356678	0.01632436	0.02671002	0.03694769	0.04376346	0.04549114	0.05595603	0.05826683	0.06195939	0.08546705	0.09425453	0.1106402	0.1111653	0.1110581	0.09918498	0.09103107	0.08912368	0.08456711	0.07812533	0.06896461	0.06613945	0.06317248	0.05114979	0.03554335	0.01610498	0.01287073	0.002042181	0.009008856	0.01721327	0.02251625	0.03905864	0.01654683	0.02068944	0.007001726	0.0008697602	0.009125615	0.003326293	-0.0002723667	0.002512804	-0.0001812942	-0.003272302	-0.01117959	-0.0207958	-0.02143475	-0.02471065	-0.02590024	-0.01550031	-0.007552743	-0.002741513	0.00196263	0.004249319	0.005063464	-0.008323235	-0.0152171	-0.009280684	0.001017166	-0.007382076	0.007817382	0.01313455	0.01809308	0.02856179	0.01299267	0.0002707825	-0.01117777	0.01602553	0.02244534	-0.0009435144	-0.005998858	-0.02294007	-0.03281659	-0.04842638	-0.07374419	-0.09207677	-0.08946487	-0.08332109	-0.07573887	-0.06300824	-0.04802409	-0.03095287	-0.01339617	0.00760658	0.0423365	0.08213359	0.1302913	0.1632841	0.1923067	0.1860748	0.1002637	0.2002189	0.3729228	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
29S	-10	-10	-10	-10	-10	-0.06814948	-0.1493341	-0.1971445	-0.1227697	-0.06348936	-0.0351998	-0.06999395	-0.0977168	-0.1059108	-0.1156271	-0.1060603	-0.1121087	-0.1094982	-0.1028257	-0.08929463	-0.07190398	-0.05016705	-0.02509401	-0.001021653	0.02346627	0.03801434	0.05198809	0.06182272	0.06632621	0.06287801	0.08151337	0.09662507	0.0721053	0.06296319	0.03104898	0.01457606	0.02357973	0.02335262	0.02796186	0.03318316	0.03883069	0.0365317	0.04173808	0.04106615	0.03765868	0.0343199	0.02694965	0.02338226	0.02387493	0.02335929	0.02674781	0.0274322	0.02759554	0.03202678	0.03914754	0.04406681	0.04730351	0.0514761	0.05471096	0.05363976	0.05019038	0.03465369	0.0329905	0.02429788	0.02324934	0.03189847	0.02675592	0.03151582	0.02231507	0.02190043	0.02195913	0.0290633	0.03171881	0.03408459	0.03661454	0.03628247	0.03009179	0.02127188	0.01415352	0.01401159	0.0157459	0.02291393	0.03089922	0.03868886	0.04454673	0.05718461	0.06459354	0.07688087	0.09332263	0.08238342	0.09530038	0.1096949	0.1227408	0.118344	0.1088379	0.1009641	0.09524699	0.09614706	0.09747763	0.09031976	0.08060053	0.07652847	0.06078944	0.04485339	0.03505522	0.02010079	0.02448072	0.02128617	0.03069773	0.03937542	0.02912242	0.03493012	0.005642112	-0.002428881	-0.006371577	0.0005608278	0.004594954	0.008817949	0.01634032	0.01512242	0.01132533	-0.001088193	-0.008535461	-0.013848	-0.01666309	-0.01108771	-0.01051942	-0.005562263	-0.007390641	-0.007502169	-0.008305484	-0.01261968	-0.01098281	-0.0210759	-0.02820908	-0.0305796	-0.01724591	-0.01437136	0.008457202	0.02575952	0.01766315	0.02298627	0.02184242	0.03916635	0.02648516	0.01075414	0.03666008	0.03755142	0.04490518	0.03804046	0.01180031	-0.01276354	-0.02729556	-0.03474692	-0.03152728	-0.02487438	-0.02500346	-0.01513506	-0.007451615	-0.001940673	0.03237779	0.07483846	0.1147821	0.1530977	0.1742362	0.1587878	0.1247899	0.1559628	0.2408825	-0.01926787	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
28.5S	-10	-10	-10	-10	-10	-10	-0.09685671	-0.2071909	-0.1599467	-0.1186543	-0.1006971	-0.08574064	-0.1009041	-0.1087869	-0.1039732	-0.111968	-0.1160961	-0.1184655	-0.1009699	-0.07629777	-0.04669309	-0.03074387	-0.01874168	-0.01023045	-0.01448838	-0.005919721	0.001219374	0.009801256	0.02191388	0.05396834	0.07575978	0.1120387	0.1638531	0.1550953	0.1272871	0.07106615	0.03568726	0.03578009	0.03889026	0.04525706	0.04545546	0.0431824	0.04292801	0.03670022	0.02628317	0.01737269	0.0120996	0.01175122	0.0115382	0.01576156	0.02123405	0.0220388	0.01940794	0.02321101	0.02717848	0.03111203	0.03242064	0.03103336	0.02562718	0.02065884	0.01183612	0.01478198	0.01695295	0.01567587	0.01762906	0.01159051	0.01346418	0.01423561	0.01465087	0.01208926	0.0152564	0.01136123	0.01241337	0.01731656	0.02123264	0.01707073	0.01407865	0.01218175	0.01719831	0.0173666	0.02166873	0.02810839	0.03613865	0.03785003	0.04970479	0.05952141	0.07466502	0.09197588	0.1013541	0.1288549	0.1156412	0.1113284	0.1078271	0.1010925	0.09840095	0.09864733	0.1045097	0.1053682	0.09292225	0.08685794	0.08002702	0.06521817	0.06487462	0.05412044	0.03987462	0.04112103	0.03393234	0.04093491	0.03815062	0.03481007	0.04057127	0.02745709	0.03585143	0.03476437	0.02175477	0.005289517	0.01086629	0.01470453	0.01812405	0.02821672	0.02387318	0.02088829	0.0147228	0.0006055522	-0.001078927	-0.005716594	-0.003505489	-0.0100256	-0.005239275	-0.00009689898	0.001960395	0.000507707	-0.01201953	-0.01366805	-0.01502413	-0.01029317	-0.01388585	0.003748151	0.01775664	0.03140105	0.05915226	0.06771956	0.07154197	0.05229422	0.03933148	0.04317329	0.03869013	0.05224298	0.05350198	0.05621446	0.05798779	0.05531779	0.0470333	0.0369578	0.02785775	0.01907357	0.01748895	0.01221964	0.008735199	0.01674398	0.03341432	0.07279684	0.109226	0.1324719	0.1293418	0.1229825	0.09341667	0.1266322	-0.04850193	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
28S	-10	-10	-10	-10	-10	-10	-0.02562531	-0.1812091	-0.2216904	-0.1631407	-0.1146213	-0.0889082	-0.07867404	-0.07728942	-0.100535	-0.1338392	-0.1560951	-0.1724366	-0.1561836	-0.1274411	-0.09654547	-0.08031072	-0.08781975	-0.09776969	-0.1052165	-0.1085625	-0.1098834	-0.1106519	-0.09829459	-0.1034702	-0.07509337	-0.01217922	0.04270114	0.1316203	0.1906898	0.1629906	0.09069655	0.04407649	0.03435535	0.04069791	0.03962565	0.04311254	0.03567342	0.02586314	0.01962519	0.01596172	0.01444041	0.01120899	0.01145269	0.01486197	0.0227033	0.02181516	0.01990477	0.01764102	0.0198403	0.01725352	0.01261816	0.002179892	-0.007294013	-0.0156605	-0.01240646	-0.005612415	0.006970548	0.01109685	0.00634291	0.005834125	0.004973322	0.006396044	-0.001162911	0.002498518	-0.002048341	-0.007219234	-0.007006331	-0.005574931	-0.00803911	0.0005842443	0.002687471	0.0111453	0.01282025	0.01584665	0.0202443	0.02618564	0.0310675	0.04323624	0.04934734	0.06502926	0.082255	0.09646264	0.1134692	0.104616	0.1137106	0.1067886	0.09523091	0.08499797	0.08262703	0.08958424	0.09037554	0.08212614	0.0768873	0.06223575	0.05415789	0.05519588	0.04788605	0.04916944	0.04568332	0.03685167	0.03944533	0.02970309	0.02396302	0.01619047	0.006235087	0.01725011	0.02047556	0.02977896	0.03875095	0.03277428	0.01795885	0.01556299	0.02645797	0.03613704	0.04078851	0.03511997	0.02586495	0.01935172	0.00548373	0.008505014	0.005232767	0.001291728	-0.004420262	-0.004070596	-0.002631956	-0.00241915	0.004685187	0.01157787	0.01391666	0.01388463	0.02651219	0.02760747	0.02477881	0.04512843	0.06476357	0.07225326	0.0542291	0.04459846	0.04921228	0.04506624	0.04442173	0.04187419	0.05086179	0.05737272	0.06895768	0.08033945	0.08497829	0.07580568	0.06478422	0.05420727	0.04278153	0.03729423	0.036892	0.03874328	0.05161467	0.05613265	0.06588801	0.06965296	0.06893435	0.08313042	0.2303216	0.1272123	0.1052981	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
27.5S	-10	-10	-10	-10	-10	-10	-0.107258	-0.1851194	-0.2181333	-0.2068335	-0.138767	-0.07401701	-0.05553899	-0.07899574	-0.1061458	-0.1238204	-0.155299	-0.1720897	-0.1792319	-0.1723492	-0.1420605	-0.1225093	-0.1140518	-0.12827	-0.1432885	-0.1563961	-0.171447	-0.1728444	-0.179728	-0.1806747	-0.179985	-0.1633085	-0.05665305	0.03215897	0.102193	0.1924651	0.175403	0.08446971	0.03587982	0.02499698	0.03498003	0.03999185	0.04106706	0.03384643	0.02402759	0.01871178	0.01579322	0.01107259	0.007348924	0.007237996	0.008606369	0.01221647	0.01053373	0.007077197	0.0001002199	-0.003335418	-0.009434517	-0.0130413	-0.01650702	-0.00989717	-0.007826451	-0.008688578	-0.0109419	-0.001525146	0.003394826	0.001572953	0.00234206	-0.002294368	-0.003786228	-0.01306209	-0.01293557	-0.006985364	-0.01082996	-0.01546536	-0.008728425	-0.01864173	-0.002991269	-0.002206025	0.003425858	0.01115269	0.01814274	0.02458427	0.03738165	0.04418233	0.05507185	0.06161	0.0656696	0.07847405	0.08764704	0.1023888	0.08994278	0.07802013	0.06868108	0.06788036	0.06914879	0.06745114	0.05909464	0.04792918	0.02616533	0.02345777	0.02725793	0.02667521	0.03124671	0.02691809	0.03236955	0.03085734	0.01971431	0.008415353	-0.01279216	-0.02441055	-0.0227436	-0.02229952	-0.01353283	-0.01726579	-0.02533307	-0.0295818	-0.02711126	-0.01080899	0.001955136	0.01591292	0.02726004	0.02894535	0.02384702	0.01651513	0.01298633	0.01063767	0.008567713	0.00147591	-0.002249645	-0.001953076	0.003483372	0.01137309	0.02532159	0.03784236	0.03852775	0.03159483	0.02938514	0.04145974	0.0483034	0.03914421	0.04806775	0.06361459	0.07351321	0.0726826	0.07714452	0.07560017	0.06234473	0.06055326	0.05685454	0.06008098	0.06715958	0.07348367	0.07330888	0.06582648	0.04996268	0.03463162	0.02639889	0.02576828	0.03356295	0.04670447	0.05140347	0.05576849	0.06342035	0.08302629	0.0781594	0.04101374	-0.06679764	0.06009187	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
27S	-10	-10	-10	-10	-10	-10	0.04247954	-0.06272429	-0.2172542	-0.2594995	-0.2230501	-0.1220375	-0.02483036	-0.02467043	-0.04516793	-0.05658976	-0.06280696	-0.06223059	-0.07628398	-0.101898	-0.1188051	-0.09771585	-0.07681042	-0.07469447	-0.08357933	-0.09764678	-0.09720999	-0.09543109	-0.1013763	-0.1155564	-0.1599972	-0.1745309	-0.1872432	-0.1361107	-0.03376486	0.08526146	0.1748305	0.1372818	0.06474634	0.03799895	0.0379608	0.04146625	0.03782057	0.03294327	0.02202119	0.02047862	0.01976393	0.0175966	0.01316596	0.007280317	0.007205599	0.008697436	0.01311478	0.007005826	0.001951894	-0.003747118	-0.004110164	-0.004506914	-0.001599642	-0.001465989	0.001933389	0.006448511	0.007410565	0.002275343	-0.001458136	-0.003878412	-0.007070269	-0.01074218	-0.01042284	-0.01021385	-0.01349937	-0.01880742	-0.01721229	-0.01601016	-0.02142626	-0.003776024	-0.009316175	-0.002931266	0.004233598	0.0133955	0.02193315	0.03214508	0.03574669	0.04316388	0.04836946	0.04729008	0.0515588	0.05460341	0.06332006	0.05804244	0.05619985	0.05159277	0.04953101	0.04476681	0.04027117	0.03543059	0.02627944	-0.001378323	-0.01732725	-0.03810903	-0.04716892	-0.04143877	-0.04152632	-0.02542395	-0.01372736	-0.004255172	-0.006207866	-0.02287808	-0.03809231	-0.05117749	-0.0539571	-0.05044175	-0.05691068	-0.06278393	-0.07678211	-0.07795305	-0.05721978	-0.04750762	-0.03081864	-0.003784996	0.01294079	0.01449114	0.01621194	0.02386362	0.02583352	0.01747188	0.01289335	0.01094136	0.007435307	0.00535375	0.007123089	0.01823272	0.02989115	0.04165959	0.0515342	0.06810866	0.06750876	0.06174013	0.08427956	0.08787707	0.06271663	0.05806284	0.07448393	0.1030176	0.1107603	0.1032452	0.09227392	0.07260862	0.0646373	0.06540164	0.06749753	0.06374358	0.05462366	0.0409605	0.02647205	0.009898826	0.00519736	0.005545753	0.01521163	0.01299391	0.01122222	0.01458227	0.05459809	0.1155206	0.107997	0.0741479	0.2034226	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
26.5S	-10	-10	-10	-10	-10	-10	-0.02910915	-0.0492538	-0.1017005	-0.2099335	-0.2489756	-0.1824947	-0.05477452	0.0359906	0.03849678	0.03043095	0.02952178	0.03295559	0.02168229	-0.01158055	-0.04752613	-0.06392056	-0.05066026	-0.0290256	-0.02372319	-0.02203031	-0.01493551	0.008570786	0.0380619	0.05041964	0.04117235	-0.03236377	-0.1776808	-0.2606822	-0.2006255	-0.08001371	0.1012823	0.1693175	0.09913447	0.0539036	0.04515962	0.04345188	0.04072394	0.03333711	0.02691672	0.02076194	0.02016365	0.01728398	0.01287329	0.007836274	0.01005205	0.01445799	0.02131199	0.02611014	0.02375688	0.022243	0.02205971	0.02616951	0.02266721	0.02265522	0.02489492	0.02372135	0.02401499	0.01805181	0.00894935	-0.0011926	-0.01144795	-0.01650925	-0.02654811	-0.02664649	-0.02645153	-0.01699884	-0.01154659	-0.004973136	0.008857633	-0.0007662549	0.005810191	0.001868646	0.01332658	0.02039941	0.03300999	0.03702271	0.04465278	0.04392017	0.0322586	0.0336141	0.03988014	0.04443889	0.03291555	0.02806972	0.02560065	0.02714392	0.02675254	0.02495649	0.02067082	0.006632889	-0.02122717	-0.04939894	-0.08592504	-0.1050959	-0.1191236	-0.128868	-0.1127741	-0.1008456	-0.07560372	-0.05538028	-0.04698357	-0.04993473	-0.06001025	-0.06058256	-0.05999261	-0.06323989	-0.06767617	-0.08228838	-0.07751547	-0.06709264	-0.06495635	-0.04463872	-0.02493185	-0.01067469	0.005447755	0.01907886	0.02412646	0.02483016	0.02559893	0.02420379	0.01563052	0.01323426	0.009683722	0.00497567	0.003216924	0.004071378	0.01130411	0.02481675	0.04794169	0.06505564	0.09068221	0.08621226	0.0640014	0.0783534	0.08661448	0.08363906	0.09897842	0.1024654	0.09949924	0.1001174	0.09099331	0.08143045	0.07512998	0.07074375	0.06614668	0.05631647	0.04262861	0.03238293	0.02225285	0.02185269	0.02050492	0.01210786	-0.002391363	-0.01811185	-0.03299916	-0.03217822	-0.01379497	0.02184628	0.1057844	0.150226	-0.05627084	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
26.1S	-10	-10	-10	-10	-10	-10	0.01543631	-0.07297904	-0.1141742	-0.182991	-0.2722448	-0.2671879	-0.1265367	0.01183886	0.06772137	0.07548638	0.06631241	0.05264726	0.02940771	0.01461677	0.002171017	-0.02290066	-0.03903928	-0.02872624	-0.01240317	-0.003389534	0.01544091	0.03697855	0.03990307	0.02705837	0.04328083	0.03612959	-0.005530448	-0.1475737	-0.2755789	-0.241741	-0.05472014	0.1201228	0.1083357	0.05531044	0.03978793	0.03279161	0.02453015	0.02169008	0.02107698	0.02046751	0.01896459	0.0248141	0.02671332	0.02797147	0.02450335	0.02118616	0.02557142	0.03276483	0.04237638	0.04709287	0.05334612	0.05454398	0.0542349	0.04864274	0.04442639	0.0428859	0.03607222	0.0285299	0.01162712	0.001645437	-0.008912528	-0.01809731	-0.01623577	-0.01998456	-0.01675747	-0.01909286	-0.01164074	-0.006713893	-0.00264415	0.01338964	0.008259197	0.01704876	0.01620702	0.02615182	0.0280089	0.03541283	0.03996711	0.04282616	0.04623372	0.04051527	0.0359245	0.01889035	0.008541764	-0.004426757	-0.01091967	-0.007965948	-0.002972136	0.0003522302	-0.009261726	-0.02493424	-0.05125467	-0.07936398	-0.09414642	-0.1142098	-0.1214188	-0.1290481	-0.137498	-0.1283493	-0.1221375	-0.1032449	-0.08649834	-0.08150289	-0.07810973	-0.07608476	-0.06869687	-0.06884731	-0.06824865	-0.05115189	-0.04238537	-0.04438628	-0.03670324	-0.02794294	-0.01916821	-0.006768042	0.01221886	0.02044182	0.02176767	0.0276025	0.02145021	0.01680123	0.01972267	0.01533155	0.01477558	0.01816525	0.01246597	0.01209592	0.01011247	0.01639646	0.03591055	0.05850221	0.05791978	0.07224338	0.07634013	0.06721416	0.07524956	0.08235686	0.08859009	0.09632648	0.09414771	0.08333044	0.07662661	0.06782928	0.05388409	0.04431794	0.03924068	0.03085624	0.02748281	0.02412408	0.02842809	0.03487868	0.03423469	0.02461371	0.007535463	-0.02446735	-0.04577845	-0.05758302	-0.03712863	0.006244188	0.01765572	0.02743547	0.1501433	-0.008906047	0.01475834	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
25.6S	-10	-10	-10	-10	-10	-10	-0.0306546	-0.0275056	-0.03316536	-0.03415926	-0.06093136	-0.1796157	-0.2025092	-0.06561659	0.009629824	0.04261306	0.05100761	0.02779354	0.01644024	0.01690199	0.008835007	-0.01001156	-0.02125765	-0.02658064	-0.01922879	0.004309241	0.02384536	0.0394268	0.01895331	-0.01342261	-10	-10	-0.008942273	0.02730238	-0.03920635	-0.170586	-0.17443	0.02739323	0.09439856	0.05638694	0.03401978	0.01772122	0.01029742	0.009794979	0.01486169	0.01525241	0.02439458	0.03334822	0.04529306	0.05352812	0.05277289	0.04509369	0.03604406	0.03798576	0.0456189	0.05732436	0.06587548	0.07383923	0.07537649	0.07377829	0.06907006	0.06123105	0.05504438	0.0369343	0.02666417	0.006803591	-0.0008683425	0.0001495223	-0.007359438	-0.003658258	-0.009663377	-0.0004216726	-0.002212202	0.005342036	0.0133309	0.01157311	0.02857474	0.02594312	0.03092707	0.02836337	0.02952663	0.02622026	0.03102139	0.0373158	0.03838941	0.03730084	0.0203868	0.01237764	-0.00178619	-0.01266732	-0.01820843	-0.02096064	-0.0134784	-0.01054594	-0.01932096	-0.04101247	-0.05764353	-0.07194106	-0.07525317	-0.07238101	-0.07775816	-0.07862844	-0.09056017	-0.1067336	-0.111572	-0.1193161	-0.1157359	-0.1021309	-0.09238227	-0.0850239	-0.08214033	-0.07174831	-0.04788603	-0.0252503	-0.0002478892	0.01577136	0.00798573	-0.00333483	-0.01062326	-0.00533764	0.005935567	0.02179827	0.0283689	0.01834688	0.02001709	0.02360039	0.02461345	0.03017177	0.03151248	0.02954941	0.029474	0.0134295	0.01146551	0.0206729	0.03141294	0.03271209	0.0418545	0.04323008	0.04633231	0.04703998	0.04882843	0.05785944	0.05259428	0.04535603	0.04697952	0.0477453	0.04650013	0.03595219	0.02036808	0.006206506	-0.000475323	0.006696359	0.004653869	0.01267809	0.02120209	0.02758078	0.02932951	0.03760969	0.05029505	0.05057865	0.01721839	0.01170653	0.02868314	0.03415589	0.06159386	0.1050526	-0.01919839	0.08544708	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
